grid_id,cell_lon,cell_lat,gx,gy,n_weeks,mean_true,mean_pred_last,mean_pred_mean,std_true,std_pred_last,mae_last,rmse_last,slope_y_true_per_day,slope_y_pred_last_per_day,visits_2025,visitors_2025
3052_46756,-83.35921382278624,42.2087639148491,3052,46756,40,425397.85,433325.61484375,433681.5615234375,37472.781247022205,27711.62148640747,31401.88046875,38535.295061804914,-221.65829536317418,-173.6753764908871,22120621.0,17058174.0
3053_46756,-83.35800341069549,42.20878881612681,3053,46756,40,366891.22421875,367605.5515625,367440.65748697915,33766.26721639379,27257.961116302795,27567.30703125,33193.83488878766,-132.16801251340135,-100.43391433261873,18816292.0,14551580.0
3295_46915,-83.06972154736151,42.35754509305293,3295,46915,40,276946.225,274365.47578125,272543.9043945313,54126.66724025987,36966.897173630336,42488.4390625,54248.16738855719,200.8493299383542,352.95393451822605,13940163.0,9720008.0
3054_46755,-83.35675952891577,42.20791383404898,3054,46755,40,134266.4009765625,138266.3232421875,138549.0032063802,14898.986596676268,13652.581390089139,13092.701953125,16288.29002546845,-118.5726810632202,-127.51701757655427,7028727.0,6020640.0
3302_46888,-83.06043298979989,42.3333974074094,3302,46888,40,105606.3,104936.6998046875,104502.18510742187,7913.1704502278335,4781.574154702191,6724.1580078125,8747.721116685958,10.01562583757708,25.750780935908672,5391906.0,3739593.0
3319_46883,-83.03966560204515,42.32926604843243,3319,46883,40,88231.9,90858.5203125,91083.36138509115,22930.522701725724,16880.56158796891,18363.047265625,25923.727605678767,-123.23419994639501,30.558673529214886,4318373.0,3256876.0
3296_46900,-83.06806524507091,42.34406664735267,3296,46900,40,77745.725,76719.61396484375,75778.82307128907,11727.949336537256,7788.023113149014,9982.01123046875,13555.0646018122,33.64638166711346,68.83937664374496,3897238.0,3081969.0
3318_46884,-83.04090768837024,42.33014449945832,3318,46884,40,71498.825390625,73298.6197265625,73279.15472005209,7252.918022681029,4082.7865161685736,5417.0107421875,6987.205519509848,-63.24517440448275,-20.237472674048544,3654258.0,3286627.0
3257_47012,-83.11876993113601,42.44400186825875,3257,47012,40,61766.825,61022.9412109375,61175.391276041664,3292.3890000369174,1898.4013945584534,2898.1841796875,4156.445194832867,5.676132404181293,0.559097971388346,3172296.0,2612973.0
3312_46894,-83.04847782275372,42.339015052447614,3312,46894,40,59874.29990234375,63869.11225585938,64725.30537109375,59192.3548812693,31500.05597530855,56835.80961914062,65656.84896752442,-319.9160835210902,123.18525694246703,2478004.0,2299269.0
3319_46884,-83.03969469253722,42.330166091498654,3319,46884,40,58623.45,58671.50439453125,59123.69772135416,5555.032534465871,4496.455218340633,4679.82783203125,5543.310417219477,-44.1311712677566,-24.992395271458673,2998584.0,2313074.0
3228_46887,-83.1501637570667,42.33084865072232,3228,46887,40,58268.225,59565.65400390625,59407.33894042969,5053.731627058699,2273.7006844374064,4932.85048828125,6192.202293298131,-26.414031090860355,13.864221691989487,2975538.0,2224565.0
3286_46873,-83.07939665782175,42.319546549602336,3286,46873,40,58224.275,58036.03310546875,57701.33978678385,5271.764517461312,8004.719091848125,5681.76689453125,6667.062699744273,-4.2586571964620115,48.80562260243573,2840716.0,2040529.0
3146_46979,-83.25257652604046,42.41173159288757,3146,46979,40,57969.65,57486.618359375,57514.136946614584,3935.4833381845483,1649.2835235043551,3193.676171875,4371.431753198681,5.7948003216295865,2.1258936947199607,2976435.0,2240933.0
3226_46885,-83.15252820230965,42.32900316014064,3226,46885,40,56653.3,57686.44736328125,57592.58286946615,7939.78168723962,5646.419504136961,8037.79580078125,9467.958951594106,-14.896060037523403,39.89002178747327,2844512.0,2195184.0
3311_46880,-83.049281715264,42.32639284463346,3311,46880,40,55765.9,60068.8470703125,61952.88719075521,18612.384279125716,16485.29275872682,17552.4939453125,22730.76721913371,-72.35068346287859,-141.06300642002824,3248607.0,2563844.0
3314_46895,-83.04608069180094,42.33995842909652,3314,46895,40,54036.5251953125,46722.64194335938,46378.25643717448,51436.475710798215,20868.931799585538,38680.32553710938,51022.90474537918,165.34600946880875,101.51759081952741,2579360.0,2332923.0
3318_46889,-83.04105324716478,42.33464470903483,3318,46889,40,48793.475,48967.10478515625,48608.67567545573,4796.689093090068,3587.3708722883393,4969.95634765625,5948.904223197993,-19.138555347091877,6.480028341513689,2454344.0,1867181.0
3310_46891,-83.05081636597365,42.33627155582137,3310,46891,40,43649.85,43046.88188476562,43365.86092529297,7756.832153259871,4998.38931999248,7998.475341796875,9630.54079853749,-25.994291074778875,36.00817289370313,2130185.0,1773960.0
3307_46896,-83.0546022318694,42.34070654740847,3307,46896,40,42853.025,43263.7681640625,42726.715303548175,29378.36151239897,19438.038447159663,24112.96240234375,27953.390699385607,226.2275931385687,33.852480589151654,2508853.0,2259657.0
3053_46755,-83.35796992538698,42.207888946311634,3053,46755,40,40805.4,41051.85654296875,40996.06784667969,2365.3310366247897,1640.8401937376357,2192.34580078125,2753.7049644511217,-8.163548646475492,-4.8165171766115265,2102654.0,1877727.0
3223_46832,-83.15453906613902,42.2812358125245,3223,46832,40,37923.725,38520.87138671875,38464.875126139326,4727.838970681243,3435.8085758883144,3639.99384765625,4536.87740825698,-17.33732243366385,18.90745228951695,1897023.0,1310580.0
3057_46762,-83.35336227936138,42.21428752781237,3057,46762,40,35903.1,37614.460693359375,37859.972220865886,7252.882153199868,5581.537447116566,5224.031103515625,6270.25719908168,-65.15939426427234,-37.98085903473428,1842577.0,1660283.0
3055_46754,-83.35551568143521,42.207038837488014,3055,46754,40,32965.6,32108.824365234374,31922.50176188151,4598.721777814306,3084.5385092084484,2940.530908203125,4083.7322921154046,28.826346823907823,29.275360289005956,1663689.0,1462273.0
3054_46753,-83.35669259718703,42.206114092368274,3054,46753,40,31911.075,30071.615478515625,29698.26845703125,5697.963340089159,3870.52139840472,3978.542529296875,5134.868106559225,41.12121415170193,33.26088156555723,1565317.0,1334376.0
3318_46891,-83.04111148000825,42.33644479175906,3318,46891,40,31072.42509765625,29784.7068359375,29319.542667643233,5025.530233902305,5090.437009435522,3344.87998046875,4359.469285755944,39.234535238960774,56.13762453723876,1507358.0,1188936.0
3296_46895,-83.06791771208606,42.33956652145239,3296,46895,40,30407.1,30725.484716796876,30871.48333333333,2712.779280671582,1716.2840884200034,2261.770166015625,2833.053091330666,-18.490217099973183,-13.917286464964159,1583550.0,1058245.0
3206_46987,-83.17995951621687,42.42034049756609,3206,46987,40,29008.599853515625,30088.8041015625,29602.620843505858,9182.071188966627,5608.876443747352,8718.414794921875,10370.681823436062,37.94886126164234,33.8464561067743,1542124.0,1043614.0
3316_46889,-83.04347940756374,42.334601479712056,3316,46889,40,27421.075,27808.3693359375,28154.851342773436,5158.202426842326,3770.2065960704604,4209.712109375,5013.774909327222,-29.80821495577591,-1.9500397325616503,1385878.0,1241616.0
3303_47014,-83.06293162017822,42.44682191607947,3303,47014,40,27174.95,28843.5037109375,28871.92845052083,4776.541174027445,4235.816563100021,3724.350390625,4654.56481395849,-45.82291610828197,-16.996222998609635,1408657.0,1039258.0
3172_46989,-83.22131943809983,42.42134721091384,3172,46989,40,27157.75,29669.924682617188,29799.697892252607,8679.697193554328,6016.185101016748,8171.025463867188,9452.089871003376,-20.24280353792549,-34.13025332256351,1498973.0,1005483.0
3344_46898,-83.00977072569178,42.34330254647817,3344,46898,40,25748.175,26046.967138671876,26105.98016357422,4757.024360192149,3907.4750589201244,3477.338916015625,4290.942835113263,-17.31831948539263,16.992330176016836,1274088.0,1111824.0
3256_47013,-83.12001541664408,42.44487937040638,3256,47013,40,25722.975,26125.9939453125,26394.034517415363,4090.159337925037,3150.8486337362533,3501.7908203125,4078.31292524082,-25.930219780219755,-7.146351252596436,1294250.0,1061790.0
3318_46883,-83.04087858060747,42.32924445706887,3318,46883,40,25466.925,25853.050439453124,25901.178108723958,2710.759410935311,1924.5717952892908,2579.548974609375,3121.9695566848613,-15.80641919056559,9.250422845542445,1282710.0,1029808.0
3188_47014,-83.20267356214632,42.44422062510365,3188,47014,40,25444.225,25513.470849609374,25559.468119303383,3526.6657129136897,1770.1053883930124,3077.686279296875,3841.847015655321,-2.4392522112034376,7.117358758333908,1303456.0,1083315.0
3106_46960,-83.30052620018385,42.393668696702974,3106,46960,40,24272.825,24464.6458984375,24475.830904134116,2361.764625883983,1750.5409780217917,1839.010546875,2234.3942638779595,-20.05383275261322,-3.5037968938454584,1227054.0,789461.0
3316_46883,-83.04330453373566,42.32920123587522,3316,46883,40,24179.3001953125,24221.840698242188,24699.80030517578,6147.678400935134,4520.747009878684,4642.636450195312,5928.650278040873,-17.763199690934062,29.038234175552017,1201662.0,996271.0
3223_47015,-83.16017630569279,42.44593029792077,3223,47015,40,24037.95,24860.236328125,24907.421337890624,6825.826772314179,4615.127286297027,6674.93466796875,7970.488375732097,-1.8679978558027281,39.94637721748532,1170291.0,910181.0
3312_46887,-83.04827327754647,42.33271479195534,3312,46887,40,23920.5,23454.13603515625,23268.66472167969,2900.1631342267997,2314.125903933965,1861.4287109375,2429.409746340522,19.34248190833559,22.408767861330738,1192672.0,909620.0
3295_46894,-83.0691013472721,42.33864460198578,3295,46894,40,23918.774755859376,25512.10234375,25856.747717285158,6626.778904447868,2735.0114976126815,6354.835791015625,7313.871163066175,-19.084605150470694,7.764703612888654,1240599.0,957449.0
3240_46979,-83.13841675431966,42.413918983798695,3240,46979,40,23324.15021972656,24739.5564453125,24356.457204182945,13522.84277153997,9152.394405206962,12028.103588867187,14665.540628018834,41.58268441614597,44.980473853985174,1247817.0,605200.0
3186_46902,-83.20157635310447,42.34338087294615,3186,46902,40,23055.85,23428.26728515625,23309.29757486979,2238.8350513558357,1249.5493630493932,2101.290625,2737.322673048026,-1.726856070758531,2.6054358227519607,1192694.0,925162.0
3176_47014,-83.21725425007567,42.44393937837707,3176,47014,40,22874.4,22983.457861328126,22930.836324055992,1532.0558803492822,1504.2294501349572,1560.963037109375,1950.9621242588798,3.43259179844544,14.753571768837165,1155131.0,910998.0
3415_46968,-82.92554980255592,42.407787579588216,3415,46968,40,21184.825,21724.09365234375,21795.73751220703,2054.6195091948534,1121.8318827737212,1910.29599609375,2288.0190865211152,-12.357665505226418,-6.40894249614714,1111377.0,767615.0
3129_46988,-83.27351374148529,42.41942289220392,3129,46988,40,21052.975,21303.158544921876,21414.16306966146,1923.8708374937692,1602.6573850358893,1152.208740234375,1437.0709922809035,-17.326923076923052,-13.455045904457569,1087796.0,931962.0
3288_46928,-83.07860182096607,42.36909158243734,3288,46928,40,21002.525,20903.44938964844,20507.16649983724,6781.1706877791285,3534.044331314257,5648.032641601562,6792.84603658965,41.50848298043418,4.638014547143018,1127264.0,992231.0
3235_47014,-83.14556387781552,42.44530433052076,3235,47014,40,20959.65,22657.515991210938,22815.070851643883,5698.292130778512,4241.092114039359,3762.5510009765626,4512.977847950926,-58.836102921468786,-38.216912081106784,1109992.0,829116.0
3308_46893,-83.05330115780666,42.33802818709431,3308,46893,40,20515.450048828126,20177.87448730469,19576.790291341145,7154.338561148831,4359.885096853234,6901.036401367188,8548.10370218424,20.569633146483863,26.56439018893649,1021135.0,955388.0
3289_46886,-83.0761432061539,42.33131279732265,3289,46886,40,20486.45,20533.30842285156,20801.98921508789,2769.0558878896613,2627.8460577060164,2713.3952880859374,3379.2487161439362,-12.550844277673527,13.568591711023377,1017064.0,888774.0
3317_46885,-83.04214980923743,42.3310229361496,3317,46885,40,20446.875,20858.8310546875,20567.991760253906,7166.041818392406,5586.562881408582,5522.08798828125,7676.058865977397,-43.78444116858746,-11.21267918914163,989866.0,736921.0
3208_46975,-83.17715651742384,42.40958729105517,3208,46975,40,20405.37497558594,20917.172485351562,20940.587654622395,3416.9584878457395,2692.877163057423,3086.57705078125,3757.0124158467593,-19.52649474786835,5.870423806138642,1013327.0,798703.0
3311_46889,-83.04954478520432,42.33449318197669,3311,46889,40,20140.7,19626.957763671875,19789.102449544273,2168.150649983908,2175.482259258495,2002.459912109375,2497.7292377274694,3.614151701956602,16.40335604039638,988132.0,852869.0
3049_46756,-83.36284504986853,42.20868913445591,3049,46756,40,20036.90007324219,19159.397705078125,18894.679300944008,3675.8048779316437,2495.447588235256,3040.8945556640624,3585.8691597205416,15.402974484785425,13.40482378949177,972061.0,883771.0
3365_46984,-82.98673160500516,42.42115204595915,3365,46984,40,19280.47490234375,19583.079931640626,19610.730525716146,2271.692027095803,1003.3196465370601,1991.272900390625,2457.367698362592,-10.514059647003132,6.136824991414847,974792.0,825415.0
3156_47014,-83.24155493066327,42.44346651579183,3156,47014,40,19157.475,19536.7150390625,19656.91664835612,4114.790470333037,3483.6412581561704,3130.8130859375,3711.0378288693664,-25.64959796301259,9.216050070356495,926981.0,692118.0
3294_46886,-83.07007823549138,42.33142249538089,3294,46886,40,19122.124877929688,19267.55759277344,19217.139084879556,3985.915271793623,2907.373460710189,4155.341064453125,4814.677243841085,-8.981467233462045,17.80185650263418,955001.0,811099.0
3313_46887,-83.04706023790148,42.33273646296831,3313,46887,40,19090.549951171874,18269.041772460936,18216.695713297526,2729.07396753872,1873.4152558234405,2111.7269287109375,2876.2361315093435,12.961618528670266,16.062505195595186,943680.0,718892.0
3052_46754,-83.35914681940064,42.206964176616765,3052,46754,40,19077.475,20046.368994140626,20148.649475097656,1749.887922967845,1882.9993807147225,1772.189404296875,2302.7919404547742,-9.43327526132403,-17.20343686658235,1034000.0,938528.0
3375_47015,-82.97546011930777,42.44926394454468,3375,47015,40,18987.875,19144.36086425781,19229.019561767578,2953.53904348838,1520.2187857052022,2943.0794677734375,3601.053168460472,-9.050482444384883,5.382270286639828,961403.0,758715.0
3238_47003,-83.14158116679722,42.43547290106659,3238,47003,40,18847.474853515625,18846.635205078124,18971.28922322591,2968.0179724857917,1916.222135265702,2362.141796875,3108.6953558433615,3.251823038813337,16.274209562826673,952342.0,779521.0
3170_46902,-83.22098614151481,42.34300637027706,3170,46902,40,18768.17512207031,18584.1982421875,18766.61354573568,2014.177187882698,2072.9239020490254,1728.9820556640625,2254.8585429192663,5.52215081150745,20.471234148854222,932856.0,696380.0
3222_46983,-83.16040172642812,42.417108755040985,3222,46983,40,18618.525,18552.051000976564,18646.86025390625,2001.1301805127466,1702.347472491698,1811.2171630859375,2395.2905438889034,-10.627244706512949,9.984021293826231,913280.0,708285.0
3126_47008,-83.2778091743319,42.43734826479975,3126,47008,40,18488.1,18528.847875976564,18371.432997639975,3668.419661142439,2838.5504870904883,2927.6371826171876,4046.0939369412895,11.164218708121165,28.020579569296952,923786.0,717288.0
3321_46887,-83.0373558727077,42.332909369419184,3321,46887,40,17967.45,18377.12783203125,18393.373024495442,3642.592834992469,2138.6211177034347,2501.728662109375,4124.7278589637735,-19.413160010720965,-3.9204898307675333,919869.0,810841.0
3222_46975,-83.16015452494631,42.40990907288312,3222,46975,40,17871.8498046875,18131.36472167969,18299.5953898112,3165.946421251904,2517.6565257922393,2618.1005615234376,3111.2908257153117,11.726855494924283,20.490016879795125,921191.0,677762.0
3312_47014,-83.05199452355943,42.4470183123305,3312,47014,40,17034.6,17328.50546875,17542.741892496742,2637.661783104742,1343.9629207493535,2573.554296875,3160.0935255437603,-6.891450013401224,6.282079515377925,858866.0,684241.0
3190_46906,-83.196849237177,42.34707378226828,3190,46906,40,16915.95036621094,16799.741796875,16805.66533610026,2418.4137379469116,1266.6276997310226,1842.9442626953125,2411.4667481380166,6.006620143623547,7.354459312600527,869362.0,683276.0
3313_46884,-83.04697264754024,42.33003634691856,3313,46884,40,16756.3,16630.191967773437,16646.552516682943,1561.246152507012,1023.6098581920688,1468.2239990234375,1783.5136570653628,-6.432082551594736,1.7416200284566812,848661.0,764438.0
3311_47014,-83.05320976191172,42.446996542022845,3311,47014,40,16728.824658203124,17514.307885742186,17565.72541503906,2605.329358444587,2179.806767084365,1859.3986083984375,2317.729064465194,-26.883050764498496,-19.633242582731615,871955.0,634770.0
3299_46914,-83.06483805865199,42.35673262440823,3299,46914,40,16543.55001220703,16799.19499511719,16641.564438883463,2594.578309797243,2050.52160199842,2236.781848144531,2823.5081398241377,-2.4837842529754908,17.259547161346678,827254.0,721000.0
3242_46908,-83.13382191740946,42.35006569526239,3242,46908,40,16520.8,16600.809375,16536.085736083984,1111.4712864095136,719.6854166487751,1105.733984375,1355.9660781042269,2.1561243634414455,2.764160967652747,856224.0,659317.0
3162_46902,-83.23069089671617,42.34281788785504,3162,46902,40,16419.175024414064,16969.860205078126,16879.893312581382,2504.368351366106,1328.617371517148,2200.2361083984374,2768.8342034687766,-7.142843257399942,5.570106429869686,838787.0,616749.0
3214_46982,-83.17008725060396,42.41602518825378,3214,46982,40,16224.15,16288.078881835938,16289.502058919272,1065.3311884224736,676.6166497028655,953.8004150390625,1216.2970187515823,-2.432886625569512,3.346732808207448,830450.0,749089.0
3238_46978,-83.1408151947706,42.41297365456604,3238,46978,40,16217.50001220703,16652.48435058594,16783.24912109375,3335.920139950252,1855.5746850646535,2912.189172363281,3824.119877703369,-3.5482709988420424,8.362748407033163,838438.0,565799.0
3313_46885,-83.04700184299132,42.33093638575996,3313,46885,40,16176.5,15269.487158203125,15246.703580729165,2157.2482828469583,1789.347911166554,1630.415185546875,2249.795904664679,16.24794961136425,18.49744648929578,790272.0,650962.0
3312_46884,-83.04818563536972,42.33001467794325,3312,46884,40,16122.275659179688,16491.946142578126,16580.428877766928,1068.4811314075907,1150.5092985451347,982.5027587890625,1259.9880682127784,-4.4690813271617875,-7.8880473566068,859593.0,777537.0
3236_46887,-83.14046032108338,42.33103027616679,3236,46887,40,16108.575,16177.242944335938,16139.900006103515,1732.7582707925535,1236.833800423216,1510.6199951171875,1985.4865784785304,-2.284199946395068,6.314099811440495,817352.0,713362.0
3201_46924,-83.18406508177026,42.36352801302953,3201,46924,40,16000.125,16211.7095703125,16243.374033610025,1810.7060273019727,1240.3884228092927,1372.666748046875,1913.917056224088,1.759729295095175,3.3533035871331647,823764.0,543323.0
3290_46928,-83.07617438735045,42.36913558365457,3290,46928,40,15935.975,16180.682080078124,16181.13560587565,2565.219863496485,1449.6721389404083,2039.104541015625,2688.9449301583027,0.01974001608150139,-7.903965508576766,846115.0,717947.0
3353_46960,-83.00062211563831,42.39929713420785,3353,46960,40,15919.25,16076.87939453125,16109.045520019532,1402.3784329597947,825.8843032986161,1295.32197265625,1565.059794923958,-1.1024658268560716,4.515232673671609,822510.0,663746.0
3210_46983,-83.17497654440696,42.41683302719834,3210,46983,40,15563.425,15471.523583984375,15502.371274820962,1692.8682819025805,1375.5326764481738,1585.19140625,1938.155843551403,-0.7567542213883449,14.335055793101734,773667.0,671711.0
3337_47015,-83.02164208209342,42.44845842017211,3337,47015,40,15530.424987792969,15109.127172851562,15383.943353271485,2849.2952785883685,2703.691447694549,2671.6933471679686,3372.4052661937453,-7.010868642004866,19.217804912075362,745105.0,556530.0
3239_46940,-83.13843874032116,42.37879726612535,3239,46940,40,15491.675,15116.399169921875,15322.955194091797,1559.9872679871628,963.5583573506955,1302.3224609375,1618.5789642685036,5.643192173680004,8.465652718565739,791217.0,659818.0
3183_46902,-83.20521571655887,42.3433109037662,3183,46902,40,15447.15,15276.563525390626,15314.376973470053,1729.2778328183479,1306.1311992403764,1660.92490234375,2112.653204509774,5.632430983650491,10.854050470299526,783349.0,614541.0
3308_46883,-83.05300829284704,42.32902783821933,3308,46883,40,15437.375,15611.774658203125,15744.099076334634,2911.17873463654,2022.7660734989765,2662.986279296875,3300.680780098915,-1.7110828196194128,11.692324312977435,780153.0,646997.0
3308_46882,-83.05297901372099,42.328127802461495,3308,46882,40,15390.675,15679.1291015625,15912.357419840493,3111.2351689131524,1517.2180224148126,2382.2806640625,2998.412306981754,-12.620115250603035,6.50050076638303,776672.0,598467.0
3344_46944,-83.0110912906838,42.3847050279859,3344,46944,40,15376.15,15394.477880859375,15472.58739013672,2576.9242802523027,1394.8884090904367,2076.6798828125,2817.0507702516707,-0.19981238273922214,6.088237565121607,783457.0,567762.0
3314_46885,-83.04578883655483,42.33095804259166,3314,46885,40,15268.55,14914.48095703125,14904.660154215493,937.790828736099,717.3714360707397,715.283056640625,941.0866814018693,6.697775395336369,7.20852054053035,773052.0,720767.0
3391_46979,-82.95500681174669,42.41719492364413,3391,46979,40,15181.075,15580.988623046875,15638.266414388021,2525.0962752653554,1376.06360173879,2221.133837890625,2856.2733786747035,-7.957879924953077,8.812815216890584,764149.0,581461.0
3364_46982,-82.9878895076504,42.41933086295624,3364,46982,40,15126.025024414062,15205.271337890625,15178.274686686196,2248.1324594309394,1615.60454305801,1661.3947998046874,2199.641982691545,7.184093089884592,13.534222273058509,761860.0,606461.0
3222_47008,-83.16117481498301,42.4396076957487,3222,47008,40,14981.375,15020.676025390625,15029.161301676431,1897.7511750584943,1182.2480831287335,1549.008642578125,1995.2319628279502,0.07950951487536698,9.083991546753563,752620.0,534825.0
3164_46999,-83.23135553970772,42.43015757532317,3164,46999,40,14934.075,15263.582153320312,15285.110131835938,3097.0305744125535,2132.895120996418,2468.7473876953127,3263.8657777528974,4.706204770838935,16.7407940727813,757057.0,503133.0
3149_47014,-83.25006003028972,42.44329979783125,3149,47014,40,14734.15,15214.8251953125,15188.220119222005,2403.8966289264804,1743.8980664181106,2024.49111328125,2401.5972894461247,-21.254971857410887,-6.339328666284184,742920.0,546761.0
3402_47015,-82.94264547962007,42.4498249909213,3402,47015,40,14600.325,14691.934252929688,14703.361639404297,1070.076929597312,705.8048831022571,926.8382080078125,1218.6396586807625,-4.474390243902431,2.785618213008419,746403.0,644240.0
3238_46925,-83.13919423073915,42.36527492181438,3238,46925,40,14598.375,14478.7494140625,14604.001186116537,1360.1281931946992,1004.8967122813488,1178.580322265625,1499.081437973341,-0.8798311444652814,8.717748048445472,741512.0,566529.0
3245_46887,-83.1295438487627,42.331233624024094,3245,46887,40,14567.975,14860.636206054687,14976.405629475912,1614.7957954173137,849.0705044353266,1487.9875244140626,1890.8739454309907,-11.7804476011793,2.243139000624021,747622.0,639753.0
3362_46978,-82.9902051164495,42.41568846439768,3362,46978,40,14379.574987792968,15023.072436523438,15126.160327148438,2301.1479861181906,1330.916478108062,1995.9622924804687,2373.215398531511,-3.655038634550471,0.5486064942584289,750365.0,612866.0
3298_47014,-83.06900773764275,42.44671235644953,3298,47014,40,14028.649951171876,15517.593505859375,15392.804361979166,4065.286938366224,2599.138196205805,3428.712109375,4291.311508236475,-28.426347582962023,-11.076920982980411,724826.0,549617.0
3246_46910,-83.12902945422583,42.35195592906274,3246,46910,40,13902.275,14004.031860351562,14045.003755696616,617.8743539812054,482.5710384522204,598.3574951171875,721.1713920150956,-1.588890377914779,-3.093267699573695,727644.0,577635.0
3238_46934,-83.13946921164911,42.37337473824205,3238,46934,40,13886.0,13948.728051757813,13848.41531575521,1601.3158211216053,1138.8349412137898,1466.5505615234374,1736.9694766223304,3.8174216027874426,2.390586615413938,722928.0,643507.0
